step,train_loss,validation_loss,perplexity,learning_rate,tokens_per_second,step_time_ms,memory_usage_mb
500,,2.726500403881073,15.279321890827742,2.9999999999999997e-05,0,0,607.078125
600,2.3300462305545806,2.590075272321701,13.330775003815763,2.7421729424061788e-05,92.81624131358956,549.4727999994211,728.81640625
700,2.2107067811489105,2.5289245009422303,12.540012110353542,2.0671729424061787e-05,115.85939381204369,517.8691000000981,731.93359375
800,2.2358134961128235,2.4478060066699983,11.562949834301277,1.232827057593821e-05,277.65832154034695,457.3966999996628,735.19921875
900,2.1563203155994417,2.4391670703887938,11.463488486160543,5.578270575938211e-06,568.4974147347841,429.2015999999421,713.21875
1000,2.273149082660675,2.405951941013336,11.088981315519332,3e-06,537.3228898850032,429.90910000025906,743.796875
