step,train_loss,validation_loss,learning_rate,gradient_norm,tokens_per_second,peak_ram_mb,tokens_processed,corpus_fraction
0,,8.442137658596039,1.4999999999999999e-05,,,399.109375,0,0.0
10,8.157444095611572,7.992324322462082,0.00015,2.173914670944214,880.8527852787954,836.59375,5120,0.00015328075144930393
25,7.715997536977132,7.5001208782196045,0.0002999537388717002,1.63815438747406,887.7521523810644,834.6328125,12800,0.0003832018786232598
50,7.299886245727539,7.207618445158005,0.00029757555223549096,1.2366359233856201,879.6891048470548,804.4921875,25600,0.0007664037572465196
75,7.26388729095459,7.202895522117615,0.00029165583034953537,1.296614408493042,886.5695170256039,841.625,38400,0.0011496056358697795
100,7.171713256835938,7.165496230125427,0.0002823527087325944,1.8637064695358276,868.4582299812845,803.3828125,51200,0.0015328075144930393
