step,loss,validation_loss,initial_validation_loss,learning_rate,gradient_norm,gradient_clipping_count,tokens_per_second,step_time_seconds,memory_usage_mb
50,7.650737028121949,7.3443403840065,8.370725333690643,0.00029757555223549096,1.5293262004852295,50,866.996915726441,0.5905441999998402,808.84375
100,7.21465277671814,7.282623499631882,8.370725333690643,0.0002823527087325944,1.7222241163253784,50,878.4356570755215,0.5828543000002355,853.16015625
250,6.990505905151367,7.0802126824855804,8.370725333690643,0.0001747109081761571,1.5301463603973389,150,876.7109776716419,0.5840008999998645,867.8515625
500,6.721812515258789,6.868758469820023,8.370725333690643,3.0002891475342553e-05,1.6778321266174316,400,893.9855376882023,0.5727162000002863,874.5
