step,train_loss,validation_loss,perplexity,learning_rate,tokens_per_second,step_time_ms,memory_usage_mb
100,,5.593907976150513,268.78397126232977,0.0003,0,0,607.08984375
200,4.384067566394806,3.590719199180603,36.26014481743154,0.000166060276619976,115.75319240473182,440.5926000008549,728.703125
300,3.2288189840316774,3.033660912513733,20.77314221163849,3.0004163717953395e-05,144.66922827631515,414.7392000004402,735.35546875
400,2.9053489565849304,2.824398064613342,16.850798840617763,2.9999999999999997e-05,327.065184863441,388.30180000059045,773.44921875
500,2.7204480385780334,2.726500403881073,15.279321890827742,2.9999999999999997e-05,552.7168411235754,441.4557000000059,712.796875
