step,loss,validation_loss,learning_rate,gradient_norm,gradient_clipping_count,nan_count,inf_count,tokens_per_second,step_time_seconds,memory_usage_mb,stage_counts
500,2.443117453986779,5.281176530397856,1.99197437662261e-06,9.757929801940918,498,0,0,240.15618628254424,0.2123617999995986,703.16796875,"{""A"": 308, ""B"": 65, ""C"": 94, ""D"": 24, ""E"": 9}"
1000,2.100446417648345,4.625220463826106,1.9643553568613944e-06,3.374121904373169,499,0,0,267.5256021999965,0.20558780000010302,685.859375,"{""A"": 276, ""B"": 44, ""C"": 111, ""D"": 36, ""E"": 33}"
2000,1.9067734390124678,4.161831156565593,1.8532464208533166e-06,9.127281188964844,996,0,0,452.8296284206894,0.26941699999952107,657.9453125,"{""A"": 544, ""B"": 85, ""C"": 224, ""D"": 70, ""E"": 77}"
