step,loss,validation_loss,learning_rate,gradient_norm,gradient_clipping_count,nan_count,inf_count,tokens_per_second,step_time_seconds,memory_usage_mb
500,0.5812548595666885,0.5099258507291476,4.436550759698885e-05,6.445315361022949,500,0,0,116.12093494221439,0.8181125999999495,897.203125
1000,0.17737658163532616,0.2580579114456972,2.8442202208906994e-05,3.8052942752838135,495,0,0,313.8999524844838,0.30264420000094105,751.3828125
2000,0.19049188723787666,0.11260527501969288,5.0000292000067056e-06,4.983741760253906,935,0,0,280.87779929551624,0.24921870000252966,781.41796875
